displayName,givenName,surname,userPrincipalName,department,jobTitle,managerUPN,usageLocation
Francois Langa,Francois,Langa,francois.langa@ThelmaGrace2026.onmicrosoft.com,Operations,Business Analyst,brandon.smit@ThelmaGrace2026.onmicrosoft.com,ZA
Hlengiwe Hadebe,Hlengiwe,Hadebe,hlengiwe.hadebe@ThelmaGrace2026.onmicrosoft.com,Operations,Service Delivery Officer,brandon.smit@ThelmaGrace2026.onmicrosoft.com,ZA
Kagiso Maseko,Kagiso,Maseko,kagiso.maseko@ThelmaGrace2026.onmicrosoft.com,Operations,Logistics Coordinator,brandon.smit@ThelmaGrace2026.onmicrosoft.com,ZA
Kagiso October,Kagiso,October,kagiso.october@ThelmaGrace2026.onmicrosoft.com,Operations,Service Delivery Officer,brandon.smit@ThelmaGrace2026.onmicrosoft.com,ZA
Lwazi Chetty,Lwazi,Chetty,lwazi.chetty@ThelmaGrace2026.onmicrosoft.com,Operations,Process Analyst,brandon.smit@ThelmaGrace2026.onmicrosoft.com,ZA
Marius Zulu,Marius,Zulu,marius.zulu@ThelmaGrace2026.onmicrosoft.com,Operations,Branch Operations Lead,brandon.smit@ThelmaGrace2026.onmicrosoft.com,ZA
Marlize Radebe,Marlize,Radebe,marlize.radebe@ThelmaGrace2026.onmicrosoft.com,Operations,Service Delivery Officer,brandon.smit@ThelmaGrace2026.onmicrosoft.com,ZA
Phila Jacobs,Phila,Jacobs,phila.jacobs@ThelmaGrace2026.onmicrosoft.com,Operations,Business Analyst,brandon.smit@ThelmaGrace2026.onmicrosoft.com,ZA
Phumzile Moodley,Phumzile,Moodley,phumzile.moodley@ThelmaGrace2026.onmicrosoft.com,Operations,Logistics Coordinator,brandon.smit@ThelmaGrace2026.onmicrosoft.com,ZA
Reshan Sibiya,Reshan,Sibiya,reshan.sibiya@ThelmaGrace2026.onmicrosoft.com,Operations,Operations Administrator,brandon.smit@ThelmaGrace2026.onmicrosoft.com,ZA
Sanet Moodley,Sanet,Moodley,sanet.moodley@ThelmaGrace2026.onmicrosoft.com,Operations,Client Operations Officer,brandon.smit@ThelmaGrace2026.onmicrosoft.com,ZA
Sipho Buthelezi,Sipho,Buthelezi,sipho.buthelezi@ThelmaGrace2026.onmicrosoft.com,Operations,Operations Analyst,brandon.smit@ThelmaGrace2026.onmicrosoft.com,ZA
Sizwe Padayachee,Sizwe,Padayachee,sizwe.padayachee@ThelmaGrace2026.onmicrosoft.com,Operations,Service Delivery Officer,brandon.smit@ThelmaGrace2026.onmicrosoft.com,ZA
Sphesihle Naicker,Sphesihle,Naicker,sphesihle.naicker@ThelmaGrace2026.onmicrosoft.com,Operations,Operations Officer,brandon.smit@ThelmaGrace2026.onmicrosoft.com,ZA
Thandi Oosthuizen,Thandi,Oosthuizen,thandi.oosthuizen@ThelmaGrace2026.onmicrosoft.com,Operations,Operations Officer,brandon.smit@ThelmaGrace2026.onmicrosoft.com,ZA
Themba Govender,Themba,Govender,themba.govender@ThelmaGrace2026.onmicrosoft.com,Operations,Operations Analyst,brandon.smit@ThelmaGrace2026.onmicrosoft.com,ZA
Vusi Mabaso,Vusi,Mabaso,vusi.mabaso@ThelmaGrace2026.onmicrosoft.com,Operations,Operations Analyst,brandon.smit@ThelmaGrace2026.onmicrosoft.com,ZA
Vusi Madonsela,Vusi,Madonsela,vusi.madonsela@ThelmaGrace2026.onmicrosoft.com,Operations,Quality Assurance Officer,brandon.smit@ThelmaGrace2026.onmicrosoft.com,ZA
Willem Maseko,Willem,Maseko,willem.maseko@ThelmaGrace2026.onmicrosoft.com,Operations,Operations Coordinator,brandon.smit@ThelmaGrace2026.onmicrosoft.com,ZA
Yuvania Khumalo,Yuvania,Khumalo,yuvania.khumalo@ThelmaGrace2026.onmicrosoft.com,InformationTechnology,Head of Information Technology,,ZA
Anusha Booysen,Anusha,Booysen,anusha.booysen@ThelmaGrace2026.onmicrosoft.com,InformationTechnology,Application Support Analyst,yuvania.khumalo@ThelmaGrace2026.onmicrosoft.com,ZA
Brandon Mthembu,Brandon,Mthembu,brandon.mthembu@ThelmaGrace2026.onmicrosoft.com,InformationTechnology,IT Support Engineer,yuvania.khumalo@ThelmaGrace2026.onmicrosoft.com,ZA
Caitlin Botha,Caitlin,Botha,caitlin.botha@ThelmaGrace2026.onmicrosoft.com,InformationTechnology,Software Engineer,yuvania.khumalo@ThelmaGrace2026.onmicrosoft.com,ZA
Jordan Mahlangu,Jordan,Mahlangu,jordan.mahlangu@ThelmaGrace2026.onmicrosoft.com,InformationTechnology,Application Support Analyst,yuvania.khumalo@ThelmaGrace2026.onmicrosoft.com,ZA
Jordan Williams,Jordan,Williams,jordan.williams@ThelmaGrace2026.onmicrosoft.com,InformationTechnology,Cloud Engineer,yuvania.khumalo@ThelmaGrace2026.onmicrosoft.com,ZA
Katlego Mthembu,Katlego,Mthembu,katlego.mthembu@ThelmaGrace2026.onmicrosoft.com,InformationTechnology,Database Administrator,yuvania.khumalo@ThelmaGrace2026.onmicrosoft.com,ZA
Kayla Ngcobo,Kayla,Ngcobo,kayla.ngcobo@ThelmaGrace2026.onmicrosoft.com,InformationTechnology,Database Administrator,yuvania.khumalo@ThelmaGrace2026.onmicrosoft.com,ZA
Kreson Ngcobo,Kreson,Ngcobo,kreson.ngcobo@ThelmaGrace2026.onmicrosoft.com,InformationTechnology,Cloud Engineer,yuvania.khumalo@ThelmaGrace2026.onmicrosoft.com,ZA
Marius Tshabalala,Marius,Tshabalala,marius.tshabalala@ThelmaGrace2026.onmicrosoft.com,InformationTechnology,Infrastructure Engineer,yuvania.khumalo@ThelmaGrace2026.onmicrosoft.com,ZA
Nosipho Zulu,Nosipho,Zulu,nosipho.zulu@ThelmaGrace2026.onmicrosoft.com,InformationTechnology,Application Support Analyst,yuvania.khumalo@ThelmaGrace2026.onmicrosoft.com,ZA
Pieter Nel,Pieter,Nel,pieter.nel@ThelmaGrace2026.onmicrosoft.com,InformationTechnology,Platform Engineer,yuvania.khumalo@ThelmaGrace2026.onmicrosoft.com,ZA
Sandile Van Wyk,Sandile,Van Wyk,sandile.vanwyk@ThelmaGrace2026.onmicrosoft.com,InformationTechnology,IT Project Coordinator,yuvania.khumalo@ThelmaGrace2026.onmicrosoft.com,ZA
Sibongile Sibiya,Sibongile,Sibiya,sibongile.sibiya@ThelmaGrace2026.onmicrosoft.com,InformationTechnology,Infrastructure Engineer,yuvania.khumalo@ThelmaGrace2026.onmicrosoft.com,ZA
Themba October,Themba,October,themba.october@ThelmaGrace2026.onmicrosoft.com,InformationTechnology,Cloud Engineer,yuvania.khumalo@ThelmaGrace2026.onmicrosoft.com,ZA
Themba Sithole,Themba,Sithole,themba.sithole@ThelmaGrace2026.onmicrosoft.com,InformationTechnology,IT Project Coordinator,yuvania.khumalo@ThelmaGrace2026.onmicrosoft.com,ZA
Themba Van Wyk,Themba,Van Wyk,themba.vanwyk@ThelmaGrace2026.onmicrosoft.com,InformationTechnology,DevOps Engineer,yuvania.khumalo@ThelmaGrace2026.onmicrosoft.com,ZA
Thulani Van der Merwe,Thulani,Van der Merwe,thulani.vandermerwe@ThelmaGrace2026.onmicrosoft.com,InformationTechnology,Cloud Engineer,yuvania.khumalo@ThelmaGrace2026.onmicrosoft.com,ZA
Tshepo Madonsela,Tshepo,Madonsela,tshepo.madonsela@ThelmaGrace2026.onmicrosoft.com,InformationTechnology,Site Reliability Engineer,yuvania.khumalo@ThelmaGrace2026.onmicrosoft.com,ZA
Wynand Arendse,Wynand,Arendse,wynand.arendse@ThelmaGrace2026.onmicrosoft.com,InformationTechnology,Application Support Analyst,yuvania.khumalo@ThelmaGrace2026.onmicrosoft.com,ZA
Thabo Swanepoel,Thabo,Swanepoel,thabo.swanepoel@ThelmaGrace2026.onmicrosoft.com,Security,Head of Security (CISO),,ZA
Chloe Mahomed,Chloe,Mahomed,chloe.mahomed@ThelmaGrace2026.onmicrosoft.com,Security,Identity & Access Analyst,thabo.swanepoel@ThelmaGrace2026.onmicrosoft.com,ZA
Hendrik Mthembu,Hendrik,Mthembu,hendrik.mthembu@ThelmaGrace2026.onmicrosoft.com,Security,Threat Intelligence Analyst,thabo.swanepoel@ThelmaGrace2026.onmicrosoft.com,ZA
Hlengiwe Nel,Hlengiwe,Nel,hlengiwe.nel@ThelmaGrace2026.onmicrosoft.com,Security,Security Operations Lead,thabo.swanepoel@ThelmaGrace2026.onmicrosoft.com,ZA
Mandla Dlamini,Mandla,Dlamini,mandla.dlamini@ThelmaGrace2026.onmicrosoft.com,Security,Security Operations Lead,thabo.swanepoel@ThelmaGrace2026.onmicrosoft.com,ZA
Mandla September,Mandla,September,mandla.september@ThelmaGrace2026.onmicrosoft.com,Security,Vulnerability Analyst,thabo.swanepoel@ThelmaGrace2026.onmicrosoft.com,ZA
Megan Cele,Megan,Cele,megan.cele@ThelmaGrace2026.onmicrosoft.com,Security,Threat Intelligence Analyst,thabo.swanepoel@ThelmaGrace2026.onmicrosoft.com,ZA
Mpho Nel,Mpho,Nel,mpho.nel@ThelmaGrace2026.onmicrosoft.com,Security,SOC Analyst,thabo.swanepoel@ThelmaGrace2026.onmicrosoft.com,ZA
Mxolisi Booysen,Mxolisi,Booysen,mxolisi.booysen@ThelmaGrace2026.onmicrosoft.com,Security,GRC Analyst,thabo.swanepoel@ThelmaGrace2026.onmicrosoft.com,ZA
Nkosana Petersen,Nkosana,Petersen,nkosana.petersen@ThelmaGrace2026.onmicrosoft.com,Security,SOC Analyst,thabo.swanepoel@ThelmaGrace2026.onmicrosoft.com,ZA
Nonhlanhla Kruger,Nonhlanhla,Kruger,nonhlanhla.kruger@ThelmaGrace2026.onmicrosoft.com,Security,Vulnerability Analyst,thabo.swanepoel@ThelmaGrace2026.onmicrosoft.com,ZA
Ntando Fourie,Ntando,Fourie,ntando.fourie@ThelmaGrace2026.onmicrosoft.com,Security,GRC Analyst,thabo.swanepoel@ThelmaGrace2026.onmicrosoft.com,ZA
Phumzile Gumede,Phumzile,Gumede,phumzile.gumede@ThelmaGrace2026.onmicrosoft.com,Security,Detection Engineer,thabo.swanepoel@ThelmaGrace2026.onmicrosoft.com,ZA
Ruan Maseko,Ruan,Maseko,ruan.maseko@ThelmaGrace2026.onmicrosoft.com,Security,Security Engineer,thabo.swanepoel@ThelmaGrace2026.onmicrosoft.com,ZA
Ruan Van Wyk,Ruan,Van Wyk,ruan.vanwyk@ThelmaGrace2026.onmicrosoft.com,Security,Incident Response Analyst,thabo.swanepoel@ThelmaGrace2026.onmicrosoft.com,ZA
Sipho Fourie,Sipho,Fourie,sipho.fourie@ThelmaGrace2026.onmicrosoft.com,Security,Threat Intelligence Analyst,thabo.swanepoel@ThelmaGrace2026.onmicrosoft.com,ZA
Sizwe Mnguni,Sizwe,Mnguni,sizwe.mnguni@ThelmaGrace2026.onmicrosoft.com,Security,Detection Engineer,thabo.swanepoel@ThelmaGrace2026.onmicrosoft.com,ZA
Sphesihle Radebe,Sphesihle,Radebe,sphesihle.radebe@ThelmaGrace2026.onmicrosoft.com,Security,Threat Intelligence Analyst,thabo.swanepoel@ThelmaGrace2026.onmicrosoft.com,ZA
Stefan Mnguni,Stefan,Mnguni,stefan.mnguni@ThelmaGrace2026.onmicrosoft.com,Security,Threat Intelligence Analyst,thabo.swanepoel@ThelmaGrace2026.onmicrosoft.com,ZA
Thabo Radebe,Thabo,Radebe,thabo.radebe@ThelmaGrace2026.onmicrosoft.com,Security,Security Awareness Officer,thabo.swanepoel@ThelmaGrace2026.onmicrosoft.com,ZA
Vusi Le Roux,Vusi,Le Roux,vusi.leroux@ThelmaGrace2026.onmicrosoft.com,Security,Threat Intelligence Analyst,thabo.swanepoel@ThelmaGrace2026.onmicrosoft.com,ZA
Willem October,Willem,October,willem.october@ThelmaGrace2026.onmicrosoft.com,Security,Identity & Access Analyst,thabo.swanepoel@ThelmaGrace2026.onmicrosoft.com,ZA
Validation Test,Validation,Test,valTest@ThelmaGrace2026.onmicrosoft.com,HR,Analyst, valTest@ThelmaGrace2026.onmicrosoft.com,US
